run_idx,label,tx_succeeded_per_sec,tx_p50_ms,tx_p95_ms
1, "Currency", 4845.9, 2.0, 2.3
1, "Token", 4993.8, 1.9, 2.4
1, "Mixed", 5065.7, 1.9, 2.3
2, "Currency", 5550.8, 1.8, 2.1
2, "Token", 5227.5, 1.8, 2.3
2, "Mixed", 5292.2, 1.8, 2.2
3, "Currency", 7729.6, 1.2, 1.4
3, "Token", 7435.5, 1.3, 1.5
3, "Mixed", 5224.2, 1.8, 2.1
4, "Currency", 5823.4, 1.8, 2.1
4, "Token", 5356.5, 1.8, 2.1
4, "Mixed", 5303.8, 1.8, 2.1
5, "Currency", 5577.5, 1.8, 2.1
5, "Token", 5296.2, 1.8, 2.1
5, "Mixed", 5323.3, 1.8, 2.1
6, "Currency", 7689.3, 1.3, 1.5
6, "Token", 7574.4, 1.3, 1.5
6, "Mixed", 7126.0, 1.3, 1.9
7, "Currency", 6110.0, 1.7, 2.0
7, "Token", 5300.1, 1.8, 2.1
7, "Mixed", 5311.0, 1.8, 2.1
8, "Currency", 5655.3, 1.8, 2.1
8, "Token", 5289.6, 1.8, 2.1
8, "Mixed", 5323.0, 1.8, 2.1
9, "Currency", 5701.6, 1.8, 2.1
9, "Token", 5306.1, 1.8, 2.1
9, "Mixed", 5308.4, 1.8, 2.1
10, "Currency", 5933.8, 1.8, 2.1
10, "Token", 5297.4, 1.8, 2.1
10, "Mixed", 5341.8, 1.8, 2.1
